,Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Prod_Deliv_Ratio,CO2_per_unit,Deliveries_per_station,YearMonth,Lag_Deliveries,Rolling_3m_Deliveries,Delivery_Growth_Rate,Price_per_kWh
1203,2020,2,Asia,Model 3,16816,19209,68763.3,60,354,892.93,Estimated (Region),3664,1.1423049476688867,0.046484980998490286,4.5895196506550215,2020-2,10421.0,14165.333333333334,0.613664715478361,1146.055
1204,2018,11,Europe,Model S,9505,10593,57607.78,60,359,511.84,Estimated (Region),7579,1.1144660704892162,0.0483187010289814,1.2541232352553107,2018-11,6502.0,7669.666666666667,0.46185788988003695,960.1296666666666
1205,2016,2,Europe,Model S,8024,8225,61733.35,120,662,796.78,Official (Quarter),11836,1.025049850448654,0.09687294832826747,0.6779317336938154,2016-2,9505.0,8010.333333333333,-0.15581273014203056,514.4445833333333
1206,2016,7,Middle East,Model 3,5320,5426,55642.11,100,586,467.63,Estimated (Region),8957,1.0199248120300752,0.08618319203833395,0.593948866808083,2016-7,16246.0,8969.0,-0.6725347777914563,556.4211
1207,2016,2,Asia,Model 3,11385,11623,52098.15,75,424,724.09,Official (Quarter),11456,1.0209046991655688,0.06229802976856234,0.993802374301676,2016-2,16816.0,12874.0,-0.3229662226450999,694.642
1208,2017,11,Middle East,Model 3,11168,11952,82640.96,120,705,1181.02,Estimated (Region),4853,1.0702005730659025,0.09881358768406961,2.301256954461158,2017-11,5320.0,10911.333333333334,1.0992481203007518,688.6746666666667
1209,2022,7,Europe,Model X,11844,12021,75432.71,120,690,1225.85,Estimated (Region),3520,1.0149442755825735,0.10197570917560934,3.3647727272727272,2022-7,8024.0,9791.0,0.4760717846460618,628.6059166666668
1210,2016,1,North America,Cybertruck,5993,6503,98262.55,100,590,530.38,Estimated (Region),5401,1.0850992824962455,0.08155928033215439,1.1096093316052582,2016-1,8122.0,7063.666666666667,-0.2621275547894607,982.6255
1211,2022,2,North America,Model S,856,966,115048.27,120,678,87.06,Interpolated (Month),13367,1.1285046728971964,0.09012422360248447,0.06403830328420737,2022-2,5993.0,4990.333333333333,-0.8571666944768896,958.7355833333334
1212,2016,12,Middle East,Model 3,9780,10993,103516.95,60,347,509.05,Estimated (Region),14472,1.1240286298568507,0.04630674065314291,0.675787728026534,2016-12,11168.0,8756.0,-0.12428366762177645,1725.2825
1213,2020,6,Middle East,Model 3,9771,10380,118449.76,100,560,820.76,Interpolated (Month),5584,1.0623272950568008,0.07907129094412331,1.7498209169054442,2020-6,9780.0,10239.666666666666,-0.0009202453987730008,1184.4976
1214,2020,7,Asia,Model Y,9432,9920,93505.51,82,452,639.49,Interpolated (Month),5241,1.0517387616624259,0.06446471774193549,1.7996565540927303,2020-7,11385.0,12544.333333333334,-0.1715415019762846,1140.3110975609754
1215,2021,12,Middle East,Model S,9961,10021,58603.78,75,420,627.54,Interpolated (Month),7823,1.0060234916173074,0.06262249276519309,1.2732966892496485,2021-12,9771.0,9837.333333333334,0.01944529730836142,781.3837333333333
1216,2020,5,Middle East,Model Y,5615,5813,115275.28,120,711,598.84,Official (Quarter),11517,1.0352626892252894,0.10301737484947532,0.487540158027264,2020-5,9961.0,8449.0,-0.4363015761469732,960.6273333333334
1217,2021,3,Asia,Cybertruck,9755,10955,93017.87,82,485,709.68,Interpolated (Month),8928,1.123013839056894,0.0647813783660429,1.0926299283154122,2021-3,9432.0,10190.666666666666,0.03424512298558091,1134.364268292683
1218,2021,1,Europe,Cybertruck,12075,12415,93735.68,75,425,769.78,Official (Quarter),5534,1.0281573498964802,0.06200402738622634,2.181966028189375,2021-1,11844.0,10647.666666666666,0.019503546099290725,1249.8090666666665
1219,2016,1,Asia,Model S,8718,9994,73582.71,75,419,547.93,Interpolated (Month),12476,1.1463638449185594,0.05482589553732239,0.6987816607887143,2016-1,9755.0,9301.666666666666,-0.10630445925166576,981.1028000000001
1220,2016,9,Asia,Model Y,8964,9897,85885.83,82,463,622.55,Interpolated (Month),5551,1.1040829986613119,0.06290289986864706,1.6148441722212215,2016-9,8718.0,9145.666666666666,0.028217481073640638,1047.3881707317073
1221,2025,5,Middle East,Model X,9105,10082,103337.88,100,563,768.92,Interpolated (Month),3542,1.1073036792970896,0.07626661376710969,2.570581592320723,2025-5,5615.0,8227.0,0.6215494211932324,1033.3788
1222,2019,12,Asia,Model Y,1234,1256,109607.6,82,457,84.59,Official (Quarter),14697,1.0178282009724473,0.06734872611464969,0.08396271347894128,2019-12,8964.0,6305.333333333333,-0.8623382418563141,1336.6780487804879
1223,2022,9,North America,Model S,14406,15616,67850.26,100,563,1216.59,Interpolated (Month),3471,1.0839927807857836,0.07790663422131147,4.150388936905791,2022-9,856.0,7085.0,15.82943925233645,678.5025999999999
1224,2016,4,Asia,Model S,5630,6468,114890.07,60,346,292.2,Interpolated (Month),13104,1.1488454706927176,0.04517625231910946,0.4296398046398046,2016-4,1234.0,5276.0,3.5623987034035656,1914.8345000000002
1225,2018,9,Asia,Model Y,14229,15099,112046.63,75,414,883.62,Official (Quarter),14536,1.0611427366645583,0.05852175640770912,0.9788800220143093,2018-9,5630.0,7031.0,1.527353463587922,1493.9550666666667
1226,2019,9,Asia,Model 3,6149,6221,73164.03,75,421,388.31,Interpolated (Month),14856,1.0117092210115466,0.062419225204950975,0.41390683898761443,2019-9,14229.0,8669.333333333334,-0.5678543818961277,975.5204
1227,2025,8,Middle East,Cybertruck,9888,10918,50781.2345,120,697,1033.79,Interpolated (Month),4124,1.1041666666666667,0.09468675581608353,2.3976721629485938,2025-8,9105.0,8202.666666666666,0.08599670510708401,423.17695416666663
1228,2015,1,Middle East,Model S,13902,15423,94629.02,75,445,927.96,Official (Quarter),8666,1.1094087181700474,0.06016728262983855,1.604200323101777,2015-1,9888.0,10965.0,0.4059466019417475,1261.7202666666667
1229,2024,3,North America,Model Y,3180,3488,114219.81,120,700,333.9,Official (Quarter),12732,1.0968553459119497,0.09572821100917431,0.24976437323279924,2024-3,14406.0,6147.333333333333,-0.7792586422324032,951.8317499999999
1230,2018,1,North America,Model 3,17949,18875,101310.01,75,437,1176.56,Official (Quarter),14178,1.0515906178617194,0.06233430463576159,1.2659754549301736,2018-1,3180.0,11845.0,4.6443396226415095,1350.8001333333332
1231,2025,9,Asia,Model Y,1662,1709,103129.05,75,415,103.46,Official (Quarter),9177,1.0282791817087846,0.06053832650672908,0.18110493625367768,2025-9,6149.0,7346.666666666667,-0.7297121483167994,1375.054
1232,2019,2,North America,Model 3,11573,12572,58828.07,100,579,1005.12,Interpolated (Month),12196,1.0863216106454678,0.07994909322303531,0.9489176779271893,2019-2,17949.0,10900.666666666666,-0.3552287035489442,588.2807
1233,2024,4,Europe,Cybertruck,3297,3398,78192.75,75,415,205.24,Estimated (Region),11344,1.0306339096148014,0.06040023543260742,0.2906382228490832,2024-4,12075.0,9072.0,-0.7269565217391305,1042.57
1234,2023,11,Asia,Model 3,5019,5386,115879.82,100,561,422.35,Estimated (Region),7675,1.0731221358836422,0.07841626438915708,0.6539413680781759,2023-11,1662.0,4276.666666666667,2.01985559566787,1158.7982000000002
1235,2016,7,North America,Model Y,8508,9638,91513.1,60,341,435.18,Interpolated (Month),7951,1.1328161730136341,0.045152521269973024,1.0700540812476418,2016-7,11573.0,12676.666666666666,-0.26484057720556464,1525.2183333333335
1236,2021,6,Asia,Model X,15411,17636,58865.91,120,685,1583.48,Estimated (Region),8771,1.1443773927713972,0.08978679972782944,1.757040246266104,2021-6,5019.0,7364.0,2.0705319784817693,490.54925000000003
1237,2015,10,North America,Model X,12070,12219,92220.65,82,461,834.64,Official (Quarter),7671,1.0123446561723282,0.06830673541206318,1.573458479989571,2015-10,8508.0,10717.0,0.41866478608368585,1124.6420731707317
1238,2019,2,Europe,Model S,14215,15529,52823.37,82,464,989.36,Estimated (Region),8622,1.0924375659514598,0.06371047717174319,1.6486893992113199,2019-2,3297.0,9862.333333333334,3.311495298756445,644.1874390243903
1239,2021,6,Europe,Model X,12017,13245,54447.5,82,467,841.79,Official (Quarter),14565,1.1021885661978863,0.06355530388825972,0.8250600755235152,2021-6,14215.0,9843.0,-0.15462539570875833,663.9939024390244
1240,2019,12,Asia,Cybertruck,10012,11485,56816.37,100,565,848.52,Interpolated (Month),10658,1.1471234518577706,0.07388071397474967,0.9393882529555264,2019-12,15411.0,10147.333333333334,-0.35033417688663937,568.1637000000001
1241,2025,8,Middle East,Model S,8857,10153,62777.21,120,681,904.74,Interpolated (Month),12034,1.1463249407248504,0.089110607702157,0.7359980056506564,2025-8,13902.0,10882.333333333334,-0.36289742483095955,523.1434166666667
1242,2025,12,North America,Model Y,7865,8635,58491.33,100,558,658.3,Interpolated (Month),5966,1.097902097902098,0.07623624782860451,1.3183037210861548,2025-12,12070.0,9481.0,-0.34838442419221205,584.9133
1243,2019,9,North America,Model 3,7842,8082,93876.18,75,425,499.93,Official (Quarter),14947,1.0306044376434582,0.061857213560999755,0.5246537766775942,2019-9,7865.0,9259.0,-0.0029243483788938818,1251.6824
1244,2015,10,Europe,Model X,9615,10665,84684.39,82,479,690.84,Official (Quarter),8217,1.109204368174727,0.06477637130801688,1.1701350857977364,2015-10,12017.0,11949.0,-0.1998834983772988,1032.736463414634
1245,2017,7,Middle East,Cybertruck,18353,20285,62018.57,60,345,949.77,Estimated (Region),7943,1.1052688933689314,0.04682129652452551,2.310587939065844,2017-7,8857.0,13704.0,1.072146324940725,1033.6428333333333
1246,2020,3,Asia,Model 3,5487,6060,89208.12,60,341,280.66,Interpolated (Month),8042,1.104428649535265,0.04631353135313532,0.6822929619497637,2020-3,10012.0,10303.333333333334,-0.4519576508190172,1486.802
1247,2019,11,Middle East,Model S,13795,14310,76061.5,120,675,1396.74,Official (Quarter),8867,1.037332366799565,0.09760587002096437,1.5557685801285666,2019-11,18353.0,13668.333333333334,-0.2483517681033074,633.8458333333333
1248,2021,9,Middle East,Model Y,9048,9299,95617.59,75,439,595.81,Interpolated (Month),11256,1.0277409372236959,0.06407248091192601,0.8038379530916845,2021-9,13795.0,13732.0,-0.3441101848495832,1274.9012
1249,2017,7,Asia,Cybertruck,12222,12642,58228.59,82,457,837.82,Interpolated (Month),3023,1.034364261168385,0.06627274165480146,4.043003638769434,2017-7,5487.0,9240.333333333334,1.2274466921815201,710.1047560975609
1250,2021,12,Europe,Cybertruck,15357,17137,73727.89,60,334,769.39,Interpolated (Month),13294,1.1159080549586509,0.04489642294450604,1.1551827892282232,2021-12,9615.0,12329.666666666666,0.5971918876755071,1228.7981666666667
1251,2019,2,Asia,Cybertruck,9198,10505,65314.02,60,339,467.72,Estimated (Region),12074,1.1420961078495324,0.044523560209424086,0.7618022196455193,2019-2,12222.0,8969.0,-0.24742268041237114,1088.567
1252,2018,11,Asia,Cybertruck,4416,4672,55640.66,60,334,221.24,Official (Quarter),6575,1.0579710144927537,0.04735445205479452,0.6716349809885932,2018-11,9198.0,8612.0,-0.5198956294846706,927.3443333333333
1253,2016,7,Asia,Model 3,12523,13718,104995.61,120,667,1252.93,Estimated (Region),7918,1.0954244190689133,0.09133474267385917,1.5815862591563525,2016-7,4416.0,8712.333333333334,1.8358242753623188,874.9634166666667
1254,2022,12,Europe,Model Y,8901,9137,51996.4,75,446,595.48,Estimated (Region),3098,1.026513874845523,0.06517237605340921,2.8731439638476437,2022-12,15357.0,11291.0,-0.42039460832193787,693.2853333333334
1255,2022,5,Europe,Model X,9529,10402,107420.51,100,570,814.73,Estimated (Region),5658,1.0916150697869662,0.07832436069986541,1.684164015553199,2022-5,8901.0,11262.333333333334,0.07055387035164595,1074.2051
1256,2017,6,Asia,Model Y,13304,14480,92930.42,120,698,1392.93,Official (Quarter),5904,1.0883944678292243,0.0961968232044199,2.2533875338753386,2017-6,12523.0,10081.0,0.06236524794378351,774.4201666666667
1257,2018,1,Europe,Model 3,6192,6352,89758.2,82,463,430.03,Official (Quarter),14259,1.0258397932816536,0.06769993702770781,0.4342520513359983,2018-1,9529.0,8207.333333333334,-0.3501941441914157,1094.6121951219511
1258,2018,6,Europe,Model 3,7300,7781,95076.96,120,682,746.79,Official (Quarter),3654,1.065890410958904,0.09597609561752987,1.9978106185002737,2018-6,6192.0,7673.666666666667,0.17894056847545214,792.3080000000001
1259,2017,11,Europe,Model X,8800,9446,95132.17,100,561,740.52,Official (Quarter),9631,1.073409090909091,0.07839508786788059,0.9137161250129789,2017-11,7300.0,7430.666666666667,0.20547945205479445,951.3217
1260,2024,2,Europe,Model S,12899,13977,90373.26,100,558,1079.65,Official (Quarter),7832,1.083572369951159,0.07724475924733491,1.6469611848825332,2024-2,8800.0,9666.333333333334,0.46579545454545457,903.7325999999999
1261,2015,7,Middle East,Model 3,10346,11237,108928.01,60,334,518.33,Official (Quarter),12543,1.0861202397061667,0.04612708018154312,0.8248425416567009,2015-7,9048.0,11063.0,0.14345711759504853,1815.4668333333332
1262,2017,8,Europe,Model Y,9828,9926,111414.53,60,341,502.7,Interpolated (Month),9501,1.0099715099715099,0.050644771307676806,1.0344174297442374,2017-8,12899.0,10509.0,-0.2380804713543686,1856.9088333333334
1263,2016,5,Asia,Cybertruck,9308,9832,77613.34,100,572,798.63,Interpolated (Month),12420,1.056295659647615,0.08122762408462164,0.7494363929146538,2016-5,13304.0,11711.666666666666,-0.3003607937462417,776.1333999999999
1264,2022,9,Europe,Cybertruck,10568,11116,62082.64,100,550,871.86,Interpolated (Month),8410,1.0518546555639667,0.07843288952860741,1.2565992865636146,2022-9,9828.0,11098.333333333334,0.0752950752950754,620.8264
1265,2023,5,Europe,Model X,13362,14234,78132.91,120,694,1390.98,Estimated (Region),10000,1.0652596916629247,0.09772235492482788,1.3362,2023-5,10568.0,11252.666666666666,0.2643830431491294,651.1075833333333
1266,2019,8,Europe,Cybertruck,13326,15182,84772.04,82,485,969.47,Estimated (Region),8350,1.1392766021311722,0.06385654064023186,1.5959281437125747,2019-8,13362.0,12418.666666666666,-0.0026942074539739735,1033.8053658536585
1267,2022,2,Asia,Model 3,7392,7575,118439.9,120,666,738.46,Official (Quarter),14183,1.0247564935064934,0.0974864686468647,0.5211873369526898,2022-2,9308.0,10001.333333333334,-0.20584443489471427,986.9991666666666
1268,2023,4,Asia,Model 3,15354,16517,86767.53,100,598,1377.25,Estimated (Region),13937,1.0757457340106813,0.08338378640188897,1.1016718088541293,2023-4,7392.0,10684.666666666666,1.0771103896103895,867.6753
1269,2017,12,Asia,Model S,13504,15509,71831.56,82,464,939.88,Interpolated (Month),3947,1.1484745260663507,0.060602230962666835,3.42133265771472,2017-12,15354.0,12083.333333333334,-0.12048977465155664,875.9946341463415
1270,2019,4,Middle East,Cybertruck,9166,9644,93416.44,82,473,650.33,Interpolated (Month),4507,1.0521492472179794,0.06743363749481543,2.033725316174839,2019-4,10346.0,9520.0,-0.1140537405760681,1139.2248780487805
1271,2022,6,Asia,Model 3,12159,12521,85588.42,100,557,1015.88,Interpolated (Month),11051,1.0297721852125996,0.08113409472086894,1.1002624196905257,2022-6,13504.0,13672.333333333334,-0.09960011848341233,855.8842
1272,2021,9,Europe,Cybertruck,11351,12445,76738.6,75,448,762.79,Interpolated (Month),6959,1.0963791736410888,0.06129288871032543,1.6311251616611582,2021-9,13326.0,12679.666666666666,-0.1482065135824704,1023.1813333333334
1273,2025,4,North America,Model Y,12062,13191,66633.49,120,690,1248.42,Official (Quarter),14114,1.0935997347040292,0.09464180122811008,0.8546124415473998,2025-4,7842.0,9256.333333333334,0.5381280285641419,555.2790833333333
1274,2019,8,Asia,Model X,8889,9950,91679.04,60,356,474.67,Estimated (Region),7931,1.1193610079874001,0.047705527638190956,1.1207918295296937,2019-8,12159.0,11517.333333333334,-0.2689365901801135,1527.984
1275,2016,12,Europe,Model S,10571,11269,71163.33,82,461,730.98,Estimated (Region),5335,1.066029703906915,0.06486644777708758,1.9814432989690722,2016-12,11351.0,11749.333333333334,-0.06871641265086781,867.8454878048781
1276,2020,2,North America,Model Y,8304,8784,114079.13,60,352,438.45,Interpolated (Month),9061,1.0578034682080926,0.0499146174863388,0.9164551374020528,2020-2,12062.0,9402.666666666666,-0.3115569557287349,1901.3188333333335
1277,2021,4,Middle East,Model X,12967,13501,52295.99,120,685,1332.36,Estimated (Region),13741,1.041181460630832,0.09868602325753648,0.9436722218179172,2021-4,9166.0,10826.333333333334,0.414684704342134,435.79991666666666
1278,2025,11,Asia,Model S,9181,9523,66418.09,120,671,924.07,Estimated (Region),9897,1.0372508441346258,0.0970355980258322,0.9276548449024957,2025-11,8889.0,10076.333333333334,0.032849589380132826,553.4840833333333
1279,2023,7,Middle East,Cybertruck,4551,5027,85436.17,100,551,376.14,Interpolated (Month),14096,1.1045923972753242,0.07482395066640143,0.3228575482406356,2023-7,12967.0,8894.666666666666,-0.6490321585563353,854.3616999999999
1280,2019,8,North America,Cybertruck,13167,15140,64800.19,100,563,1111.95,Interpolated (Month),10954,1.1498443077390446,0.0734445178335535,1.2020266569289757,2019-8,8304.0,11177.666666666666,0.585621387283237,648.0019
1281,2021,6,Europe,Model 3,8537,9533,92600.01,120,718,919.43,Official (Quarter),7483,1.1166686189527937,0.09644707856918074,1.14085259922491,2021-6,10571.0,10153.0,-0.19241320594078137,771.66675
1282,2016,5,Middle East,Model Y,15206,15358,86288.56,120,669,1525.92,Estimated (Region),11849,1.009996054189136,0.09935668706862873,1.2833150476833488,2016-5,4551.0,10908.0,2.3412436827070975,719.0713333333333
1283,2021,9,Middle East,Model S,13107,14700,59452.67,60,344,676.32,Estimated (Region),14262,1.121538109407187,0.04600816326530613,0.9190155658392932,2021-9,15206.0,10954.666666666666,-0.13803761673023807,990.8778333333333
1284,2024,3,Middle East,Model S,11386,12208,78046.05,82,491,838.58,Official (Quarter),12853,1.072193922360794,0.06869102228047183,0.8858632225939469,2024-3,13107.0,13233.0,-0.1313038834210727,951.7810975609757
1285,2020,12,North America,Model X,935,1063,75780.68,60,341,47.83,Interpolated (Month),7602,1.1368983957219252,0.04499529633113829,0.12299394896079979,2020-12,13167.0,7468.666666666667,-0.9289891395154553,1263.0113333333331
1286,2020,9,Middle East,Model Y,10233,10752,83140.45,75,435,667.7,Interpolated (Month),13425,1.050718264438581,0.06210007440476191,0.7622346368715084,2020-9,11386.0,11575.333333333334,-0.1012647110486562,1108.5393333333334
1287,2024,4,North America,Model X,13755,14856,65278.86,75,418,862.44,Interpolated (Month),5841,1.0800436205016357,0.058053311793214865,2.3549049820236263,2024-4,935.0,9285.666666666666,13.711229946524064,870.3848
1288,2018,5,Middle East,Model 3,11601,11864,83419.13,120,696,1211.14,Estimated (Region),9980,1.0226704594431515,0.1020853000674309,1.1624248496993987,2018-5,10233.0,11073.333333333334,0.13368513632365886,695.1594166666667
1289,2019,6,Europe,Model X,13504,15384,94876.03,82,463,937.85,Estimated (Region),9303,1.139218009478673,0.0609626885075403,1.45157476082984,2019-6,8537.0,10870.666666666666,0.5818203115848659,1157.024756097561
1290,2016,2,Asia,Cybertruck,10601,11391,93249.31,100,593,942.96,Official (Quarter),9847,1.074521271578153,0.08278114300763761,1.0765715446328832,2016-2,9181.0,9557.0,0.15466724757651673,932.4931
1291,2022,11,Middle East,Model 3,8164,9072,102969.34,60,350,428.61,Estimated (Region),5808,1.111219990200882,0.047245370370370375,1.4056473829201102,2022-11,11601.0,9999.333333333334,-0.29626756314110847,1716.1556666666665
1292,2018,8,Europe,Model S,15247,15861,63905.12,120,674,1541.47,Official (Quarter),6676,1.040270217091887,0.09718617993821323,2.2838526063511084,2018-8,13504.0,12429.333333333334,0.12907286729857814,532.5426666666667
1293,2015,6,North America,Model 3,12491,12919,97019.05,60,348,652.03,Estimated (Region),7297,1.0342646705628051,0.05047062466135149,1.7117993696039469,2015-6,13755.0,9060.333333333334,-0.09189385677935291,1616.9841666666666
1294,2022,2,Middle East,Model Y,15256,16088,108329.2,60,343,784.92,Estimated (Region),11634,1.054535920293655,0.04878915962207857,1.311328863675434,2022-2,8164.0,11673.666666666666,0.8686918177364038,1805.4866666666667
1295,2015,6,Europe,Model X,12870,14534,116466.44,120,668,1289.57,Estimated (Region),14119,1.1292929292929292,0.08872781065088757,0.911537644309087,2015-6,15247.0,13873.666666666666,-0.15589952121728867,970.5536666666667
1296,2024,12,Middle East,Cybertruck,12805,13581,97484.54,75,441,847.05,Official (Quarter),14903,1.0606013276064037,0.062370223105809586,0.8592229752398846,2024-12,15256.0,12075.0,-0.16065810173046668,1299.7938666666666
1297,2025,12,Europe,Model Y,5817,6426,81936.8,100,576,502.59,Estimated (Region),4756,1.1046931407942238,0.07821195144724556,1.2230866274179983,2025-12,12870.0,11311.333333333334,-0.548018648018648,819.368
1298,2024,3,North America,Cybertruck,8819,10002,100057.39,100,581,768.58,Official (Quarter),10965,1.1341421929924027,0.07684263147370526,0.8042863657090743,2024-3,12491.0,11688.333333333334,-0.29397165959490834,1000.5739
1299,2023,12,Europe,Model X,6937,7210,67171.73,100,598,622.25,Estimated (Region),3098,1.0393541876892027,0.08630374479889043,2.2391865719819237,2023-12,5817.0,8541.333333333334,0.19253910950661846,671.7172999999999
1300,2020,9,North America,Model X,18338,20455,57277.16,60,358,984.75,Official (Quarter),13682,1.1154433416948413,0.04814226350525544,1.3403011255664377,2020-9,8819.0,13216.0,1.0793740786937294,954.6193333333334
1301,2022,6,Europe,Model 3,2499,2699,111361.87,82,488,182.93,Estimated (Region),6191,1.080032012805122,0.06777695442756576,0.40365046034566304,2022-6,6937.0,5084.333333333333,-0.6397578203834511,1358.0715853658537
1302,2022,12,Asia,Model X,6375,7256,59853.93,82,460,439.87,Estimated (Region),9697,1.1381960784313725,0.060621554575523706,0.6574198205630607,2022-12,10601.0,8719.0,-0.3986416375813603,729.925975609756
1303,2023,7,Asia,Model Y,15153,15547,73861.36,82,467,1061.47,Estimated (Region),7184,1.0260014518577178,0.06827490834244548,2.109270601336303,2023-7,6375.0,10709.666666666666,1.3769411764705883,900.7482926829268
1304,2023,3,North America,Model S,9070,9500,97403.35,100,574,780.93,Estimated (Region),14739,1.047409040793826,0.08220315789473684,0.6153741773526019,2023-3,18338.0,12075.666666666666,-0.5053986258043407,974.0335
1305,2022,4,North America,Cybertruck,7487,8565,107432.29,120,711,798.49,Official (Quarter),5066,1.1439829036997462,0.0932270869819031,1.4778918278720885,2022-4,9070.0,11631.666666666666,-0.17453142227122387,895.2690833333332
1306,2017,12,Asia,Model X,12561,12677,56465.24,75,418,787.57,Interpolated (Month),10142,1.0092349335244009,0.06212589729431254,1.2385131137842635,2017-12,15153.0,11363.0,-0.17105523658681454,752.8698666666667
1307,2015,4,Asia,Model X,15110,15882,115153.01,100,592,1341.77,Estimated (Region),8147,1.0510919920582396,0.08448369223019771,1.8546704308334356,2015-4,12561.0,14274.666666666666,0.2029297030491204,1151.5301
1308,2023,5,Europe,Model Y,10263,10424,110080.39,60,339,521.87,Estimated (Region),14655,1.0156874208321154,0.050064274750575594,0.7003070624360287,2023-5,2499.0,6566.333333333333,3.106842737094838,1834.6731666666667
1309,2025,8,North America,Model S,15156,15346,61250.09,82,481,1093.51,Interpolated (Month),8176,1.0125362892583796,0.07125700508275772,1.8537181996086105,2025-8,7487.0,10571.0,1.024308801923334,746.9523170731707
1310,2017,1,North America,Model 3,4481,4486,119249.2584,60,350,235.25,Official (Quarter),12941,1.00111582236108,0.052440927329469464,0.3462638126883548,2017-1,15156.0,9041.333333333334,-0.7043415149115861,1987.48764
1311,2022,9,Middle East,Model X,4364,4537,98157.4,60,353,231.07,Estimated (Region),6681,1.0396425297891843,0.050930130041877894,0.6531956293967969,2022-9,12805.0,10808.333333333334,-0.659195626708317,1635.9566666666665
1312,2021,8,North America,Model Y,12327,12708,80886.08,82,453,837.62,Interpolated (Month),12903,1.030907763446094,0.06591281082782499,0.9553592187863288,2021-8,4481.0,10654.666666666666,1.750948449006918,986.4156097560976
1313,2025,11,Europe,Model S,11138,11508,65394.72,82,489,816.97,Estimated (Region),14449,1.0332196085473155,0.07099148418491484,0.770849193715828,2025-11,10263.0,7966.666666666667,0.08525772191367054,797.4965853658537
1314,2019,11,Asia,Model 3,9433,9586,111315.31,100,589,833.41,Official (Quarter),5017,1.0162196544047493,0.08694032964740246,1.8802072951963325,2019-11,15110.0,12368.0,-0.3757114493712773,1113.1531
1315,2023,12,Middle East,Model Y,5348,5655,111013.18,100,568,455.65,Estimated (Region),14419,1.0574046372475692,0.08057471264367816,0.37089950759414664,2023-12,4364.0,7505.666666666667,0.22548120989917497,1110.1317999999999
1316,2021,11,North America,Model S,14807,14852,92314.23,82,462,1026.13,Interpolated (Month),13348,1.0030391031268995,0.0690903582009157,1.1093047647587653,2021-11,12327.0,10538.333333333334,0.20118439198507332,1125.7832926829267
1317,2021,8,Middle East,Model Y,13069,14212,87686.89,82,469,919.4,Official (Quarter),5511,1.087458872140179,0.06469180973824937,2.371438940301216,2021-8,5348.0,7593.666666666667,1.4437172774869111,1069.3523170731708
1318,2016,9,Europe,Model S,20358,20930,110072.39,100,590,1801.68,Estimated (Region),9489,1.0280970625798211,0.08608122312470139,2.1454315523237435,2016-9,11138.0,13919.666666666666,0.8277967319087807,1100.7239
1319,2018,2,Middle East,Model X,7551,7813,110788.67,82,488,552.73,Interpolated (Month),8035,1.03469739107403,0.07074491232561117,0.9397635345364033,2018-2,13069.0,8656.0,-0.4222205218455888,1351.0813414634147
1320,2025,4,Middle East,Model S,6995,7039,97176.11,75,432,453.28,Interpolated (Month),8329,1.0062902072909221,0.06439551072595538,0.8398367150918478,2025-4,7551.0,9205.0,-0.07363263143954446,1295.6814666666667
1321,2023,11,Middle East,Model 3,10831,11502,79651.01,120,702,1140.5,Estimated (Region),14313,1.0619518050041548,0.0991566684054947,0.7567246559072173,2023-11,6995.0,8459.0,0.5483917083631165,663.7584166666667
1322,2021,1,Middle East,Model 3,2137,2277,68388.53,120,669,214.45,Official (Quarter),11269,1.0655124005615348,0.09418093983311374,0.18963528263377408,2021-1,10831.0,6654.333333333333,-0.8026959652848306,569.9044166666666
1323,2023,3,Asia,Model X,6987,7810,76386.5,82,455,476.86,Interpolated (Month),10605,1.117790181766137,0.06105761843790013,0.6588401697312588,2023-3,9433.0,10510.0,-0.2593024488497827,931.5426829268292
1324,2023,10,North America,Model S,10819,11416,99911.97,75,414,671.86,Interpolated (Month),7636,1.0551807006192808,0.05885248773651016,1.4168412781561026,2023-10,14807.0,12651.0,-0.2693320726683326,1332.1596
1325,2018,2,North America,Model Y,11286,12786,115401.29,82,488,826.14,Estimated (Region),10624,1.1329080276448698,0.06461285781323323,1.0623117469879517,2018-2,10819.0,12304.0,0.043164802661983526,1407.3328048780486
1326,2018,5,Europe,Model 3,14415,14504,84869.1,120,701,1515.74,Interpolated (Month),6027,1.0061741241762054,0.10450496414782129,2.391737182677949,2018-5,20358.0,15303.666666666666,-0.29192455054524025,707.2425000000001
1327,2025,3,North America,Model X,4027,4228,117189.04,82,472,285.11,Official (Quarter),7808,1.0499130866650113,0.06743377483443709,0.5157530737704918,2025-3,11286.0,8710.666666666666,-0.6431862484494064,1429.1346341463413
1328,2024,4,Middle East,Model 3,14574,16184,65092.63,75,427,933.46,Official (Quarter),9094,1.1104707012487993,0.05767795353435492,1.6025951176599955,2024-4,2137.0,9180.666666666666,5.819840898455779,867.9017333333333
1329,2025,1,Middle East,Cybertruck,4241,4551,63059.47,100,594,377.87,Official (Quarter),5982,1.0730959679320915,0.08303010327400571,0.7089602139752591,2025-1,14574.0,6984.0,-0.7090023329216413,630.5947
1330,2025,6,Europe,Model 3,10014,10848,107745.69,100,575,863.71,Estimated (Region),13997,1.0832834032354703,0.07961928466076697,0.7154390226477102,2025-6,14415.0,14929.0,-0.30530697190426637,1077.4569000000001
